 #
 STAT iters ns T P beta lnKx1 lnKx2 lnKx3 lnKy1 lnKy2 lnKy3
 X0       22082           8   175.00000000000009        1767.0286588576760        8.3626450083626402E-002 -0.47534470082050145        6.8510908521493734        18.301668706422650       -1.2825336220586410        2.9108591653768379        21.678462083691329     
 SOL           7           8   175.00000000000009        1071.8586867918498       0.11074840230268071      -0.40640052737860605        8.3660828796415405        19.152213557008000       -1.3315745074486884        4.9588480624672000        24.417457386216576     
 SOL           3           6   175.75181743864809        1067.5899002748347       0.11080302790873015      -0.40650592816480580        8.3660873676781939        19.132633659115637       -1.3286948271160226        4.9762193843238789        24.376889162147425     
 SOL           3           6   176.50720578354552        1063.4043015571403       0.11085685896739965      -0.40661227642799308        8.3660374403615325        19.113011891542026       -1.3258183896244979        4.9934911699794586        24.336320938078273     
 SOL           3           6   177.26617934271638        1059.3003266253386       0.11090986879095799      -0.40671958499999200        8.3659335584336585        19.093349093419967       -1.3229452448341992        5.0106634338827183        24.295752714009122     
 SOL           3           6   178.02871720940769        1055.2769458969162       0.11096203646467985      -0.40682786051442354        8.3657744394202815        19.073644469694457       -1.3200754820591087        5.0277344570676767        24.255184489939971     
 SOL           3           6   178.79480282317630        1051.3330654690742       0.11101334007349278      -0.40693711046727221        8.3655590523822667        19.053897461201952       -1.3172091834224275        5.0447027844365708        24.214616265870820     
 SOL           3           6   179.56442607909659        1047.4675067505757       0.11106375659123686      -0.40704734355778877        8.3652866918571132        19.034107801231585       -1.3143464186670561        5.0615673328400321        24.174048041801669     
 SOL           3           6   180.33756522256240        1043.6792441772864       0.11111326312895307      -0.40715856687987351        8.3649562129485613        19.014274871215246       -1.3114872829704045        5.0783264246793252        24.133479817732518     
 SOL           3           6   181.11420852473069        1039.9671333876829       0.11116183683270393      -0.40727078891641222        8.3645668633045922        18.994398344550266       -1.3086318402070547        5.0949789971837145        24.092911593663366     
 SOL           3           6   181.89433910813094        1036.3300968381054       0.11120945442549274      -0.40738401758045684        8.3641177328287704        18.974477784601074       -1.3057801670406670        5.1115237357274310        24.052343369594215     
 SOL           3           6   182.67793887732341        1032.7670756756902       0.11125609248369468      -0.40749826067654188        8.3636078894074544        18.954512737181535       -1.3029323402265962        5.1279593061938993        24.011775145525064     
 SOL           4           6   183.46496238325196        1029.2771766204828       0.11130171019604726      -0.40761352717356963        8.3630363384690760        18.934503414576188       -1.3000886349550538        5.1442823204957113        23.971206921455913     
 SOL           3           6   184.05751791973165        1026.7067784046060       0.11133526968095193      -0.40770065209950890        8.3625669468310200        18.919466091111122       -1.2979582396054428        5.1564538722778730        23.940780753404049     
 SOL           3           6   184.65198754563957        1024.1764783041667       0.11136823989546746      -0.40778835902875227        8.3620617810867106        18.904402973656175       -1.2958301553096474        5.1685615190056939        23.910354585352184     
 SOL           3           6   185.24837552228317        1021.6856699014025       0.11140060568785720      -0.40787665447623672        8.3615211636121636        18.889314609031331       -1.2937044143330385        5.1806052398432074        23.879928417300320     
 SOL           3           6   185.84666573494471        1019.2341034522035       0.11143236968732455      -0.40796553694393278        8.3609437936366273        18.874199606655335       -1.2915809728048200        5.1925845485054367        23.849502249248456     
 SOL           3           6   186.44686399467537        1016.8210925772686       0.11146350697067839      -0.40805501603696059        8.3603305383388786        18.859059306383863       -1.2894599266696734        5.2044991933020457        23.819076081196592     
 SOL           3           6   187.04894900474446        1014.4464277364189       0.11149401826972574      -0.40814509005706118        8.3596800316062616        18.843892348754654       -1.2873412581018489        5.2163483739465510        23.788649913144727     
 SOL           3           6   187.65291276302159        1012.1096465972254       0.11152388868801670      -0.40823576375669735        8.3589921603983495        18.828698932795135       -1.2852250244904107        5.2281314826906380        23.758223745092863     
 SOL           3           6   188.25875094334327        1009.8102822507999       0.11155310763535871      -0.40832704114685059        8.3582667277911860        18.813479019691275       -1.2831112413904935        5.2398482682233540        23.727797577040999     
 SOL           3           6   188.86645436355684        1007.5479266808270       0.11158166522265221      -0.40841892534642454        8.3575033394452252        18.798232394957616       -1.2809999311603186        5.2514982601457740        23.697371408989135     
 SOL           3           6   189.47601414154178        1005.3221640968792       0.11160955068764579      -0.40851141977883210        8.3567016585494187        18.782958918957515       -1.2788911201694806        5.2630809905084535        23.666945240937270     
 SOL           3           6   190.08742118325449        1003.1325820960826       0.11163675313234110      -0.40860452788107232        8.3558613521123828        18.767658457888839       -1.2767848349618927        5.2745959916803109        23.636519072885406     
 SOL           3           6   190.70066662438012        1000.9787692395919       0.11166326179256254      -0.40869825308328589        8.3549820935481893        18.752330875549898       -1.2746810993028264        5.2860428278684237        23.606092904833542     
 SOL           3           6   191.31574102598341        998.86032008280324       0.11168906563417737      -0.40879259881834318        8.3540635539906418        18.736976042130884       -1.2725799389893240        5.2974210403213329        23.575666736781677     
 SOL           3           6   191.93262057714793        996.77690368943411       0.11171414393896936      -0.40888756950671851        8.3531053570966058        18.721594143688986       -1.2704814783884493        5.3087291486584700        23.545240568729813     
 SOL           3           6   192.55133948641426        994.72789544233990       0.11173851435480438      -0.40898316581537802        8.3521073739089022        18.706184147791603       -1.2683854421509653        5.3199698525878176        23.514814400677949     
 SOL           3           6   193.17184450057431        992.71312121321466       0.11176213698754567      -0.40907939397961340        8.3510691013586023        18.690746841984595       -1.2662921524148838        5.3311395979885425        23.484388232626085     
 SOL           3           6   193.79414055463556        990.73211049153633       0.11178501011785780      -0.40917625656417755        8.3499902977479437        18.675281812539637       -1.2642015324007483        5.3422390133925663        23.453962064574220     
 SOL           3           6   194.41821577217340        988.78448875689799       0.11180712233714155      -0.40927375677417666        8.3488705948663657        18.659788904308904       -1.2621136103111550        5.3532675819091731        23.423535896522356     
 SOL           3           6   195.04406672905094        986.86981159859283       0.11182846241170739      -0.40937189896508108        8.3477098942802037        18.644268149317373       -1.2600283899535363        5.3642252327841460        23.393109728470492     
