 #liquid
STAT  iter  ns  T  P  lnK1  lnK2  lnK3  lnK4  lnK5  lnK6  lnK7  lnK8  y1  y2  y3  y4  y5  y6  y7  y8
 SOL         127           9   180.00000000000000        6.2579860776701844E-070  -159.07108347203149       -164.87151825988516       -160.83333261457599       -158.54908249711008       -156.94169886602248       -149.69229347619782       -104.64783180586178        4.8097373517293658        2.0288097570119367E-071   9.2194770554597417E-073   1.0646061728011900E-071   2.6826602221219663E-071   1.0888946258158772E-070   1.5811678469712760E-067   1.6805821391518469E-046  0.99999999999999989     
 SOL           2          10   180.06380252908033        6.7837451566471493E-070  -158.99449921507389       -164.79190715971521       -160.75564007837781       -158.47246466805262       -156.86588455589541       -149.61992815547711       -104.59878593145740        4.8097373517293658        2.1902891157944942E-071   9.9834569451340714E-073   1.1506160288050231E-071   2.8962788314111553E-071   1.1746584060333885E-070   1.6998313468069719E-067   1.7650625329626572E-046  0.99999999999999989     
 SOL           2          10   180.35152790021908        9.7527416078917324E-070  -158.64986809885784       -164.43365573816567       -160.40602210116913       -158.12768269327967       -156.52471815693920       -149.29428240659252       -104.37806974712633        4.8097373517293658        3.0915255286585112E-071   1.4284582934084991E-072   1.6321782189729441E-071   4.0886249939233278E-071   1.6522595676253583E-070   2.3541383684828633E-067   2.2009790927672705E-046  0.99999999999999989     
 SOL           3          10   181.65871367987023        4.9955589576024688E-069  -157.09898663995438       -162.82149959576265       -158.83271543338006       -156.57613765826704       -154.98944009529797       -147.82884619723055       -103.38468521141886        4.8097373517293658        1.4578475011736931E-070   7.1617322680686727E-072   7.8712912482132204E-071   1.9293220431850027E-070   7.6708071740433783E-070   1.0192080494663948E-066   5.9434325642324912E-046  0.99999999999999989     
 SOL           3          10   184.74880413692719        2.1502778895750281E-067  -153.52697705152002       -159.10847738617110       -155.20915874895630       -153.00269653195247       -151.45344275005661       -144.45369091665617       -101.09585322946573        4.8097373517293658        5.1881933218207521E-069   2.9346961226478025E-070   2.9494202322803634E-069   6.8759148346993761E-069   2.6333294784146458E-068   2.9790250757839812E-065   5.8622514025786211E-045  0.99999999999999989     
 SOL           3          10   187.91587476658930        8.8459308483176966E-066  -149.99757699675126       -155.43991005545232       -151.62897132404834       -149.47201822369638       -147.95972984875186       -141.11887535008773       -98.833118258169591        4.8097373517293658        1.7693555740004163E-067   1.1502750146119170E-068   1.0582597974375991E-067   2.3479270296788634E-067   8.6657356208695182E-067   8.3630781976604529E-064   5.6332334734538130E-044  0.99999999999999989     
 SOL           3          10   191.16238931253540        3.4779992378031967E-064  -146.51078678878352       -151.81579758277201       -148.09215316463909       -145.98410274349217       -144.50830145590092       -137.82439961445985       -96.596482815834506        4.8097373517293658        5.7824097801509038E-066   4.3125459467176345E-067   3.6359081871646275E-066   7.6818715666361847E-066   2.7336426452176696E-065   2.2549597293801711E-062   5.2737092413614725E-043  0.99999999999999989     
 SOL           3          10   194.49090382643206        1.3069257701333448E-062  -143.06660671163729       -148.23613991937390       -144.59870425341649       -142.53895008769288       -141.09915763120878       -134.57026381225859       -94.385949612583559        4.8097373517293658        1.8109116706953135E-064   1.5465334061203079E-065   1.1961853879652957E-064   2.4081183643158541E-064   8.2663557572234981E-064   5.8397198431985666E-061   4.8099277638577533E-042  0.99999999999999989     
 SOL           3          10   197.90407081380300        4.6936026889722235E-061  -139.66503702268432       -144.70093697119736       -141.14862453005060       -139.13656021011352       -137.73229839475232       -131.35646801128502       -92.201521451461105        4.8097373517293658        5.4347580355098484E-063   5.3049151054996323E-064   3.7683313115707181E-063   7.2329752456273045E-063   2.3961967771778074E-062   1.4525322878011775E-059   4.2738930544351821E-041  0.99999999999999989     
 SOL           3          10   201.40464293582417        1.6109947216861974E-059  -136.30607795002703       -141.21018860183105       -137.74191389514866       -135.77693302927102       -134.40772373654428       -128.18301224942638       -90.043201271066749        4.8097373517293658        1.5629950533106969E-061   1.7405687934270208E-062   1.1367493358412806E-061   2.0815388674663178E-061   6.6583544168487049E-061   3.4700850629767708E-058   3.6997313970555985E-040  0.99999999999999989     
