 #vapor
STAT  iter  ns  T  P  lnK1  lnK2  lnK3  y1  y2  y3
 SOL          19           3   1028.0069794988844        161.94998019725858      -0.11799414499176139       0.10119897610872929       0.37265245002327019       0.55230713416345922       0.32630240385891435       0.12139046197771935     
 SOL           4           3   1032.4935105991201        155.59931207262673      -0.17054542222227773       0.13179910632001746       0.51189268978911318       0.52403213919520009       0.33644163971501301       0.13952622108978655     
 SOL           7           3   1042.3787215343434        141.10586432060515      -0.30438935901299125       0.18061968677214227       0.81189269425946153       0.45838483389936280       0.35327446683340069       0.18834069926779354     
 SOL           4           3   1052.5550141230544        124.96012108577784      -0.47645990264483595       0.19904331198274591        1.1118926987298099       0.38592325805105182       0.35984338908121066       0.25423335286816606     
 SOL           4           3   1063.1926181461572        105.16871383381731      -0.72314741843616315       0.17020134939651718        1.4282316670623296       0.30155457776616879       0.34961304035796248       0.34883238187596760     
 SOL          13           3   1072.6320281815727        77.505709346633779       -1.1562235931410527        3.4286897492378628E-002   1.7867576075960789       0.19556148785604760       0.30518327322963590       0.49925523911237074     
 SOL           4           1   1073.5351505665794        61.551165901159592       -1.4788071069521196      -0.10282047001440067        1.9576153476123088       0.14164038310960941       0.26608215765819332       0.59227745923220165     
 SOL           4           1   1069.8101656635224        47.258409891600493       -1.8436257463137766      -0.27597192369300294        2.0926075744802302        9.8344113717751966E-002  0.22377781690510229       0.67787806937714501     
 SOL           4           1   1061.2233434795528        34.999431351380530       -2.2509662883277528      -0.48114768236335531        2.1967648750832955        6.5439899116608052E-002  0.18226796002444995       0.75229214085894081     
 SOL           4           1   1047.8798800772372        24.928013064262124       -2.7010629067881649      -0.71459416547286936        2.2755488405467315        4.1722290577809906E-002  0.14431976514783801       0.81395794427435042     
 SOL           3           1   1039.3385571242268        20.624429321629925       -2.9475865677270972      -0.84366999470321669        2.3076963375683661        3.2606507052018875E-002  0.12684369745396065       0.84054979549401898     
 SOL           3           1   1029.7312561830670        16.871521590600942       -3.2051146201288883      -0.97870951061922895        2.3351845518006473        2.5203523820177966E-002  0.11082097748390476       0.86397549869591550     
